1	63
1	74
1	87
2	63
2	80
2	94
2	95
2	97
3	63
3	97
3	98
4	63
4	79
4	85
5	63
5	64
5	91
6	63
6	95
6	102
7	63
7	79
8	63
8	90
8	91
8	95
9	63
9	81
10	63
10	87
11	63
11	65
11	67
11	68
11	82
12	63
12	64
13	63
13	64
13	65
14	63
14	66
15	63
15	70
16	64
17	63
18	67
19	65
19	66
19	68
19	69
20	68
20	69
21	67
21	68
22	63
22	80
22	96
22	97
22	99
23	64
23	97
24	76
25	74
25	75
26	72
26	73
27	77
28	90
28	99
29	72
29	75
30	63
30	80
30	82
30	83
30	87
30	88
30	90
31	81
31	92
31	93
31	101
32	87
32	92
33	73
33	81
33	87
33	92
33	94
33	95
33	96
33	97
34	79
35	87
35	93
35	94
36	63
36	79
36	92
36	93
36	96
36	98
37	82
37	83
37	87
38	79
38	80
38	92
39	79
39	87
39	92
39	93
40	70
40	73
40	76
40	87
41	79
41	93
41	95
42	77
42	79
42	81
42	91
42	93
42	96
42	100
43	64
43	79
43	88
44	75
44	79
44	81
44	84
44	85
44	87
44	93
45	79
46	79
46	99
47	85
47	89
47	91
48	87
49	89
50	71
50	81
50	92
50	100
51	87
51	97
51	98
51	99
51	101
52	79
52	80
52	81
52	82
52	83
52	85
52	99
53	79
53	81
53	82
53	86
53	89
53	90
53	92
53	95
54	80
54	84
54	99
55	82
55	85
55	93
55	94
56	74
56	81
57	80
57	100
58	71
58	84
58	90
58	100
59	84
59	85
59	91
60	71
60	102
61	102
62	83
62	94
