1	5
2	5
3	5
4	5
4	7
5	6
5	7
5	8
5	9
5	10
5	11
5	32
6	10
7	8
7	10
8	11
9	10
10	13
10	23
11	12
12	22
13	14
13	18
13	22
13	23
14	18
14	19
15	18
16	18
17	18
18	19
18	20
18	22
19	20
20	21
20	22
21	22
22	24
22	32
23	24
23	32
24	25
24	29
24	30
24	31
24	32
24	36
24	37
24	38
25	29
26	32
27	32
28	32
28	33
28	38
28	40
29	32
29	36
29	38
30	32
30	36
30	38
31	32
31	36
31	37
31	38
32	33
32	35
32	36
32	37
32	38
32	39
32	42
32	43
32	44
32	45
32	51
32	57
33	38
33	39
33	40
33	41
33	42
33	43
34	35
35	36
35	38
36	37
36	38
37	38
37	44
37	45
37	50
37	51
38	39
38	40
38	42
38	43
38	44
38	48
38	50
38	51
39	40
39	42
39	43
40	42
40	43
41	48
42	43
42	46
42	47
43	49
43	50
43	51
44	51
44	53
45	48
45	62
46	47
46	62
47	49
47	62
48	49
48	57
48	61
48	62
49	50
49	51
50	51
50	55
50	56
50	57
51	52
51	53
51	54
51	55
51	56
51	57
52	53
53	54
55	56
55	57
56	57
56	58
56	59
57	58
57	59
57	60
57	61
57	62
58	59
61	62
