22	1
22	2
22	3
22	4
22	5
22	6
16	23
19	23
21	23
1	24
2	24
3	24
4	24
5	24
6	24
7	24
8	24
9	24
10	24
11	24
12	24
13	24
14	24
15	24
16	24
17	24
18	24
1	8
1	12
1	20
2	9
2	12
2	19
2	21
3	15
3	21
4	16
4	21
5	15
5	21
6	15
6	16
6	21
7	8
7	20
8	9
8	12
8	20
9	10
9	20
9	21
10	17
10	18
10	21
11	13
11	21
12	21
12	17
13	14
13	15
13	17
13	18
13	21
14	17
14	21
15	17
15	21
16	21
17	21
18	17
18	21
19	7
19	8
20	9
20	10
20	12
20	19
20	21
21	11
21	13
21	15
21	18
